workflow_name,module,file_path,type,phase_coverage,step_count,description,status
Signal-Driven JD Optimization,sync,_lr/sync/workflows/jd-optimize/workflow.yaml,engine,cev,76,Comprehensive career alignment engine,active
Outbound Campaign Execution,sync,_lr/sync/workflows/outbound-campaign/workflow.yaml,engine,cev,61,Multi-channel outreach automation,active
Portfolio GitHub Deployment,sync,_lr/sync/workflows/portfolio-deploy/workflow.yaml,engine,cev,58,Automated portfolio deployment,active
Application Pipeline Tracking,sync,_lr/sync/workflows/application-track/workflow.yaml,engine,cev,13,Job application lifecycle management,active
Quick Resume Optimization,sync,_lr/sync/workflows/quick-optimize/workflow.yaml,engine,cev,10,Rapid single-pass resume tuning,active
Career Signal Capture,sync,_lr/sync/workflows/signal-capture/workflow.yaml,engine,cev,5,Deep career experience extraction,active
Social Signal Amplification,flex,_lr/flex/workflows/content-automation/workflow.yaml,engine,cev,8,Automated brand building from signals,active
Portfolio Github View,flex,_lr/flex/workflows/portfolio-deploy/steps/step-01-load-session-context.md,manual,cev,58,Visual portfolio generator,stub
Squick Phase 1: Analysis,squick,_lr/squick/workflows/1-analysis/workflow.yaml,engine,ce,5,Rapid technical requirement analysis,active
Squick Phase 2: Planning,squick,_lr/squick/workflows/2-plan/workflow.yaml,engine,ce,5,Atomic task decomposition and planning,active
Squick Phase 3: Solutioning,squick,_lr/squick/workflows/3-solutioning/workflow.yaml,engine,ce,5,Architectural design and drafting,active
Squick Phase 4: Implementation,squick,_lr/squick/workflows/4-implementation/workflow.yaml,engine,ce,5,Final delivery and verification,active
Enterprise-Grade Delivery,squick,_lr/squick/workflows/enterprise-ship/workflow.md,manual,ev,0,High-compliance shipping protocol,stub
Sprint Status Review,core,_lr/core/workflows/sprint-status/workflow.yaml,engine,,0,Automated sprint progress audit,stub
Development Story Execution,core,_lr/core/workflows/dev-story/workflow.yaml,engine,,0,End-to-end task execution,stub
Context Generation,core,_lr/core/workflows/context-gen/workflow.yaml,engine,c,1,Deep system context synthesis,active
Resume Validation,tea,_lr/tea/workflows/resume-validation/workflow.yaml,engine,cv,10,Automated quality check for resumes,active
